experimento,geracao,melhor_fitness_geracao,melhor_fitness_global,fitness_medio,fitness_desvio_padrao,taxa_mutacao_geracao,geracoes_sem_melhora,tempo_geracao_segundos,qtd_individuos_unicos,taxa_individuos_unicos,entropia_genetica,accuracy,recall_maligno,f1_maligno,roc_auc,especificidade_benigno,tn,fp,fn,tp,hiperparametros
GA_RF_04_hotstart_mutacao_adaptativa,1,0.9693618620065124,0.9693618620065124,0.9636138303652633,0.004891304197147206,0.18000000000000002,0,11.690638303756714,30,1.0,0.9377344134349447,0.9736842105263158,0.9534883720930233,0.9647058823529412,0.9927939731411726,0.9859154929577465,70,1,2,41,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'class_weight': 'balanced'}"
GA_RF_04_hotstart_mutacao_adaptativa,2,0.9693618620065124,0.9693618620065124,0.9659489180577224,0.004697720533608372,0.18000000000000002,1,10.730567932128906,29,0.9666666666666667,0.8799608290837808,0.9736842105263158,0.9534883720930233,0.9647058823529412,0.9927939731411726,0.9859154929577465,70,1,2,41,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'class_weight': 'balanced'}"
GA_RF_04_hotstart_mutacao_adaptativa,3,0.9693618620065124,0.9693618620065124,0.9676634926308642,0.003053579973776692,0.18000000000000002,2,10.233803510665894,27,0.9,0.7956262122736701,0.9736842105263158,0.9534883720930233,0.9647058823529412,0.9927939731411726,0.9859154929577465,70,1,2,41,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'class_weight': 'balanced'}"
GA_RF_04_hotstart_mutacao_adaptativa,4,0.9693618620065124,0.9693618620065124,0.9674837362988461,0.003246997430058862,0.23000000000000004,3,11.264924049377441,26,0.8666666666666667,0.7595979285313917,0.9736842105263158,0.9534883720930233,0.9647058823529412,0.9927939731411726,0.9859154929577465,70,1,2,41,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'class_weight': 'balanced'}"
GA_RF_04_hotstart_mutacao_adaptativa,5,0.9693618620065124,0.9693618620065124,0.9662685695156991,0.0036455976393659894,0.28,4,13.917999029159546,27,0.9,0.7710912771744617,0.9736842105263158,0.9534883720930233,0.9647058823529412,0.9927939731411726,0.9859154929577465,70,1,2,41,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'class_weight': 'balanced'}"
GA_RF_04_hotstart_mutacao_adaptativa,6,0.9693618620065124,0.9693618620065124,0.9667467017038998,0.0044560758306425525,0.33,5,14.777267932891846,28,0.9333333333333333,0.6987931519662985,0.9736842105263158,0.9534883720930233,0.9647058823529412,0.9927939731411726,0.9859154929577465,70,1,2,41,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'class_weight': 'balanced'}"
GA_RF_04_hotstart_mutacao_adaptativa,7,0.9693618620065124,0.9693618620065124,0.965183126455868,0.004762708638903513,0.38,6,15.390347480773926,27,0.9,0.7942525578409444,0.9736842105263158,0.9534883720930233,0.9647058823529412,0.9927939731411726,0.9859154929577465,70,1,2,41,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'class_weight': 'balanced'}"
GA_RF_04_hotstart_mutacao_adaptativa,8,0.9693618620065124,0.9693618620065124,0.9659352721335109,0.0038296645331127982,0.43,7,12.729046106338501,27,0.9,0.7935605415076142,0.9736842105263158,0.9534883720930233,0.9647058823529412,0.9927939731411726,0.9859154929577465,70,1,2,41,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'class_weight': 'balanced'}"
GA_RF_04_hotstart_mutacao_adaptativa,9,0.9693618620065124,0.9693618620065124,0.9656368039834838,0.004914172565873161,0.48,8,11.732348918914795,29,0.9666666666666667,0.8645872732813418,0.9736842105263158,0.9534883720930233,0.9647058823529412,0.9927939731411726,0.9859154929577465,70,1,2,41,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'class_weight': 'balanced'}"
GA_RF_04_hotstart_mutacao_adaptativa,10,0.9693618620065124,0.9693618620065124,0.9660975330944317,0.00275504084696233,0.5,9,13.13216519355774,27,0.9,0.8427765060670597,0.9736842105263158,0.9534883720930233,0.9647058823529412,0.9927939731411726,0.9859154929577465,70,1,2,41,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'class_weight': 'balanced'}"
GA_RF_04_hotstart_mutacao_adaptativa,11,0.9693618620065124,0.9693618620065124,0.9661439026978667,0.004213176394946725,0.5,10,12.607903718948364,29,0.9666666666666667,0.8725069639209089,0.9736842105263158,0.9534883720930233,0.9647058823529412,0.9927939731411726,0.9859154929577465,70,1,2,41,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'class_weight': 'balanced'}"
GA_RF_04_hotstart_mutacao_adaptativa,12,0.9693618620065124,0.9693618620065124,0.9657222531618836,0.0050227408187814,0.5,11,14.572062253952026,27,0.9,0.8490937327147444,0.9736842105263158,0.9534883720930233,0.9647058823529412,0.9927939731411726,0.9859154929577465,70,1,2,41,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'class_weight': 'balanced'}"
GA_RF_04_hotstart_mutacao_adaptativa,13,0.9693618620065124,0.9693618620065124,0.9665609343371089,0.0043099004835024865,0.5,12,14.134347438812256,25,0.8333333333333334,0.824786985743425,0.9736842105263158,0.9534883720930233,0.9647058823529412,0.9927939731411726,0.9859154929577465,70,1,2,41,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'class_weight': 'balanced'}"
GA_RF_04_hotstart_mutacao_adaptativa,14,0.9693618620065124,0.9693618620065124,0.9653805749476171,0.0042972244138645985,0.5,13,15.607123851776123,29,0.9666666666666667,0.8986517658916657,0.9736842105263158,0.9534883720930233,0.9647058823529412,0.9927939731411726,0.9859154929577465,70,1,2,41,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'class_weight': 'balanced'}"
GA_RF_04_hotstart_mutacao_adaptativa,15,0.9693618620065124,0.9693618620065124,0.9645821161358624,0.004934730215205137,0.5,14,13.382836818695068,29,0.9666666666666667,0.9077153915758083,0.9736842105263158,0.9534883720930233,0.9647058823529412,0.9927939731411726,0.9859154929577465,70,1,2,41,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'class_weight': 'balanced'}"
